Indicação de data e hora,Situação,Sexo:,Com qual cor/etnia você se identifica?,estado_civil,tem_filhos,renda_mensal_da_família,com_quem_mora_atualmente,residindo_em,dist_moradia_atual_para_universidade,Qual meio de transporte você utiliza para chegar à universidade,apresent_alguma_necessidade_educacional_especial,tipo_escola_cursou_ensino_fundamental,tipo_escola_cursou_ensino_médio,forma_ingresso,como_tomou_conhecimento_do_curso_de_sua_escolha,trabalha_exerce_alguma_atividade_remunerada,,participa_algum_tipo_de_atividade_organização_associação,principal_fator_que_determinou_sua_escolha_por_este_curso,,afinidade_linguagens,afinidade_humanas,afinidade_matemática,afinidade_ciencias_natureza,horas_diárias_de_estudo_fora_de_sala,motivação,Indique em que medida você conhece sobre o curso de sua escolha: [As atividades e tarefas exercidas durante o curso.],Indique em que medida você conhece sobre o curso de sua escolha: [O nível de dedicação exigido.],Indique em que medida você conhece sobre o curso de sua escolha: [As disciplinas ofertadas.],Indique em que medida você conhece sobre o curso de sua escolha: [As competências e habilidades requeridas.],"Indique em que medida você conhece sobre o curso de sua escolha: [As condições do mercado de trabalho (salário, empregabilidade, etc).]","De acordo com sua percepção sobre sua vida acadêmica neste início de curso, assinale os itens a seguir: [Tenho boas competências para a área de tecnologia da informação.]","De acordo com sua percepção sobre sua vida acadêmica neste início de curso, assinale os itens a seguir: [Julgo que o meu curso me permitirá me realizar profissionalmente.]","De acordo com sua percepção sobre sua vida acadêmica neste início de curso, assinale os itens a seguir: [Pretendo concluir meu curso nesta instituição.]","De acordo com sua percepção sobre sua vida acadêmica neste início de curso, assinale os itens a seguir: [Mesmo que pudesse, não mudaria de curso.]","De acordo com sua percepção sobre sua vida acadêmica neste início de curso, assinale os itens a seguir: [Mesmo que pudesse, não mudaria de curso.]","De acordo com sua percepção sobre sua vida acadêmica neste início de curso, assinale os itens a seguir: [Mesmo que pudesse, não mudaria de curso.]","De acordo com sua percepção sobre sua vida acadêmica neste início de curso, assinale os itens a seguir: [Mesmo que pudesse, não mudaria de curso.]",Assinale DOIS fatores que você acredita que o ajudarão a concluir o curso com êxito:,Quais suas expectativas com a conclusão de seu curso?,O que você espera do curso que está inciando? Quais suas expectativas?,Curso em que você está matriculado:,"Quais foram a primeira e a segunda opção de cursos que você escolheu no ENEM/Sisu, respectivamente?",Assinale as DUAS principais dificuldades que você percebeu influenciar a conclusão do curso:,Você já concluiu ou está cursando algum outro curso tecnológico ou de graduação? [Não.],"Dentre os cursos oferecidos pela UFC, aquele no qual você havia ingressado sempre foi a formação que você desejou realizar?"
5/19/2015 15:21:38,CANCELADO/ABANDONO,Masculino,,Solteiro/a,Não,Até 1000 reais,Família,Zona urbana,Entre 25 km e 50 km,Bicicleta e Transporte Alternativo,Sim. Visual,Pública,Pública - Profissionalizante na Área de Informática,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Obtive conhecimento através de amigos e familiares.,Não exerço nenhuma atividade remunerada.,,Clube recreativo ou associação esportiva.,É uma área com a qual me identifico.,,Muita afinidade,Boa afinidade,Muita afinidade,Boa afinidade,De 3 a 4 horas,Motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Conheço bem,Algum conhecimento,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Verifica-se com frequência,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).","Espero ser um curso inovador, pois ainda está iniciando e é de pouco conhecimento da sociedade quixadaense. Tenho muitas expectativas com relação ao curso, pois pretendo seguir na vida acadêmica e fazer um mestrado e mais adiante um doutorado, e com isso conseguir um bom emprego.",Design digital,"Design Digital, Estatistica","Dificuldade de Transporte, Problemas Financeiros, Problemas Familiares, Problemas Pessoais, Dificuldade de Organizar Horários de Estudos, Dificuldade com o aprendizado de programação",,
5/19/2015 15:21:47,CANCELADO/ABANDONO,Masculino,,Solteiro/a,Não,De 2001 até 3000 reais,Família,Zona urbana,Entre 25 km e 50 km,Ônibus universitário,Não,Pública e particular,Pública Tradicional,ENEM/Sisu - Cota para pessoa com deficiência,Obtive conhecimento através de amigos e familiares.,Não exerço nenhuma atividade remunerada.,,Igreja ou grupo religioso.,Por conta de um mercado de trabalho promissor.,,Pouquíssima afinidade,Boa afinidade,Muita afinidade,Alguma afinidade,Até 2 horas,Pouco motivado.,Algum conhecimento,Algum conhecimento,Algum conhecimento,Conheço bem,Algum conhecimento,Poucas vezes se verifica,Verifica-se com frequência,Verifica-se com frequência,Poucas vezes se verifica,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., O apoio da família.",Gostaria de ganhar dinheiro com o meu próprio negócio.,"Em me forma com bastante conhecimento, pra me tornar um exelente profissional.",Design digital,"Design Digital, Engenharia de Software","Dificuldade de Organizar Horários de Estudos, Dificuldade de Concentração",,
5/19/2015 15:22:45,ATIVO,Masculino,,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública Tradicional,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Obtive conhecimento através de amigos e familiares.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Boa afinidade,Boa afinidade,Alguma afinidade,Boa afinidade,De 4 a 6 horas,Motivado.,Conheço bem,Conheço bem,Algum conhecimento,Algum conhecimento,Conheço bem,Poucas vezes se verifica,Verifica-se com frequência,Verifica-se sempre,Nunca se verifica,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade).","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).","Espero que me ajude, por conta de me encaixar bem, espero que seja gratificante e que seja ""gostoso "" de se cursar, pois sempre sonhei em encontrar um meio termo entre arte e tecnologia que me deixasse a vontade, porem demorou. Espero conseguir um bom emprego, um bom negocio, e espero que a UFC me ajude nesta caminhada.",Design digital,Design Digital e  Ciencia da Computação,"Problemas Financeiros, Dificuldade com o aprendizado de programação",,
5/19/2015 15:24:06,ATIVO,Masculino,,Casado/a ou União estável,Não,Acima de 6000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Estrangeira,Particular,Ampla concorrência,Li por acaso em um fascículo voltado para o ENEM.,Não exerço nenhuma atividade remunerada.,,Escola de Cinema do Sertão (é um curso técnico em Audiovisual),É uma área com a qual me identifico.,,Alguma afinidade,Muita afinidade,Boa afinidade,Pouquíssima afinidade,De 2 a 3 horas,Motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Algum conhecimento,Algum conhecimento,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.",Gostaria de ganhar dinheiro com o meu próprio negócio.,"Eu tenho boas expectativas. Realmente espero que as coisas se encaminhem daqui pra frente, principalmente em relação a minha própria organização, tanto acadêmica quanto pessoal.
Mas contudo, prefiro pensar que vai dar certo.",Design digital,Sistemas e Mídias Digitais e Design Digital,"Dificuldade de Organizar Horários de Estudos, Dificuldade de Concentração",,
5/19/2015 15:25:37,ATIVO,Masculino,,Solteiro/a,Não,De 2001 até 3000 reais,Família,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública e particular,Pública Tradicional,Ampla concorrência,Obtive conhecimento através de amigos e familiares.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Boa afinidade,Muita afinidade,Pouquíssima afinidade,Alguma afinidade,De 2 a 3 horas,Motivado.,Algum conhecimento,Conheço bem,Conheço bem,Algum conhecimento,Algum conhecimento,Nunca se verifica,Verifica-se com frequência,Verifica-se sempre,Poucas vezes se verifica,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).","Espero que consiga me satisfazer através da área de design e que eu consiga superar minha dificuldade na área de T.I., além de querer me envolver mais em atividades dentro da Universidade durante minha permanência. Apesar das dificuldades eu acredito que essa pode ser um curso que me satisfaça e que me realize.",Design digital,"Design Digital, Jornalismo","Dificuldade com o aprendizado da matemática, Dificuldade com o aprendizado de programação",,
5/20/2015 9:55:41,ATIVO,Feminino,,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública e particular,Pública - Profissionalizante na Área de Informática,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",No site da universidade.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Boa afinidade,Pouquíssima afinidade,Muita afinidade,Alguma afinidade,Até 2 horas,Motivado.,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Algum conhecimento,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Verifica-se com frequência,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Experiência de estágio na área.","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).",Concluir o curso com êxito.,Sistemas da informação,"Sistemas de Informação, Redes de Computadores","Dificuldade de Transporte, Problemas Financeiros",,
5/20/2015 9:56:45,CANCELADO/ABANDONO,Masculino,,Solteiro/a,Não,De 1001 até 2000 reais,Família,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública e particular,Pública - Profissionalizante na Área de Informática,"Cota L4 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA, autodeclarados pretos, pardos ou indígenas)",Escola e cursinhos,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Alguma afinidade,Alguma afinidade,Muita afinidade,Boa afinidade,Até 2 horas,Motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., O apoio da família., Alimentação no refeitório universitário gratuita., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão., Experiência de estágio na área.",Gostaria de prestar um concurso e trabalhar no setor público.,Espero ser um curso bem proveitoso para mim profissionalmente e pessoalmente.,Sistemas da informação,Sistemas de Informaçao / Engenharia de Software,"Dificuldade de Transporte, Problemas Pessoais",,
5/20/2015 9:57:03,ATIVO,Masculino,,Solteiro/a,Não,De 1001 até 2000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,"Cota L3 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA)",Escola e cursinhos,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Alguma afinidade,Boa afinidade,Muita afinidade,Boa afinidade,De 2 a 3 horas,Muito motivado.,Conheço muito bem,Conheço muito bem,Conheço muito bem,Conheço muito bem,Conheço muito bem,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.",Gostaria de conseguir um bom emprego.,"Espero expandir meus conhecimentos na área, tenho expectativas muito boas.",Sistemas da informação,Sistemas de Infoemação/ Engenharia de software,"Problemas Financeiros, Dificuldade de Organizar Horários de Estudos",,
5/20/2015 9:57:17,ATIVO,Masculino,,Solteiro/a,Não,Até 1000 reais,Família,Zona urbana,Entre 10 km e 25 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Escola e cursinhos,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Boa afinidade,Alguma afinidade,Boa afinidade,Boa afinidade,De 2 a 3 horas,Motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Algum conhecimento,Conheço muito bem,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.",Gostaria de conseguir um bom emprego.,Que me gere muitos conhecimentos na área de informática.,Sistemas da informação,Sistema de Informação / Engenharia de Software,"Dificuldade de Transporte, Dificuldade de Concentração",,
5/20/2015 9:58:08,ATIVO,Masculino,,Solteiro/a,Não,De 1001 até 2000 reais,Família,Zona urbana,Entre 50 km e 100 km,Ônibus universitário,Não,Pública,Pública Tradicional,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Obtive conhecimento através de amigos e familiares.,Não exerço nenhuma atividade remunerada.,,"Igreja ou grupo religioso., Grupo cultural (dança, teatro, música, coral, etc).",É uma área com a qual me identifico.,,Alguma afinidade,Alguma afinidade,Alguma afinidade,Boa afinidade,Até 2 horas,Motivado.,Algum conhecimento,Algum conhecimento,Conheço bem,Pouquíssimo conhecimento,Algum conhecimento,Poucas vezes se verifica,Verifica-se com frequência,Verifica-se com frequência,Poucas vezes se verifica,,,,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).","Espero obter conhecimento, para que possa ser um bom profissional.",Sistemas da informação,Sistemas de informações/Egenharia Mecanica,"Problemas Financeiros, Dificuldade de Organizar Horários de Estudos",,
5/20/2015 9:59:11,ATIVO,Masculino,,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Obtive conhecimento através de amigos e familiares.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Boa afinidade,Boa afinidade,Alguma afinidade,Alguma afinidade,Até 2 horas,Pouco motivado.,Conheço bem,Algum conhecimento,Conheço bem,Algum conhecimento,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Verifica-se com frequência,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., O apoio da família., Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.",Gostaria de conseguir um bom emprego.,"Espero que apesar das diversas dificuldades eu possa concluir o curso com êxito, com um rendimento razoável, e conhecimento elevado, em relação ao que possuo hoje.",Sistemas da informação,Sistemas da informação e Ciência da computação,"Problemas Pessoais, Dificuldade de Organizar Horários de Estudos, Dificuldade de Concentração, Dificuldade com o aprendizado da matemática",,
5/20/2015 9:59:26,ATIVO,Feminino,,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Soube no momento da minha inscrição no SISU.,Não exerço nenhuma atividade remunerada.,,Igreja ou grupo religioso.,É uma área com a qual me identifico.,,Boa afinidade,Alguma afinidade,Boa afinidade,Alguma afinidade,De 2 a 3 horas,Muito motivado.,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,Verifica-se com frequência,,,,"O apoio da família., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.",Gostaria de prestar um concurso e trabalhar no setor público.,"Espero ser uma boa profissional na minha área, podendo quando sai da universidade ser uma boa profissional com um bom emprego!!",Sistemas da informação,Sistemas de Informação/ Ciência da Computação,"Problemas Financeiros, Dificuldade com o aprendizado da matemática",,
5/20/2015 9:59:48,CANCELADO/DESISTÊNCIA,Feminino,,Solteiro/a,Não,Até 1000 reais,Família,Zona urbana,Entre 10 km e 25 km,Ônibus universitário,Não,Pública,Pública Tradicional,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Soube no momento da minha inscrição no SISU.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,Por conta de um mercado de trabalho promissor.,,Boa afinidade,Muita afinidade,Boa afinidade,Boa afinidade,Até 2 horas,Motivado.,Conheço bem,Conheço muito bem,Conheço bem,Conheço muito bem,Conheço muito bem,Verifica-se com frequência,Verifica-se com frequência,Poucas vezes se verifica,Verifica-se sempre,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.",Gostaria de prestar um concurso e trabalhar no setor público.,"Que continue do jeito que está pois, está bom .Conseguir concluir este curso.",Sistemas da informação,1ª Sistemas de Informação,"Dificuldade de Concentração, Dificuldade com o aprendizado da matemática, Dificuldade com o aprendizado de programação",,
5/20/2015 9:59:51,ATIVO,Masculino,,Solteiro/a,Não,De 2001 até 3000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,"Cota L4 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA, autodeclarados pretos, pardos ou indígenas)",Escola e cursinhos,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Boa afinidade,Boa afinidade,Boa afinidade,Boa afinidade,De 3 a 4 horas,Motivado.,Conheço bem,Conheço bem,Algum conhecimento,Algum conhecimento,Algum conhecimento,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,Verifica-se com frequência,,,,"O apoio da família., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.",Gostaria de ganhar dinheiro com o meu próprio negócio.,"Espero conseguir conhecimentos, principalmente na área de programação e ganhar oportunidade no mercado de trabalho apos concluir o curso.",Sistemas da informação,"Sistema de Informaçao, Engenharia da Computaçao","Dificuldade de Concentração, Dificuldade com o aprendizado de programação",,
5/20/2015 10:00:43,CANCELADO/ABANDONO,Masculino,,Solteiro/a,Sim,Até 1000 reais,Família,Zona urbana,Entre 10 km e 25 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Escola e cursinhos,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,Foi o curso que consegui aprovação com minha nota do ENEM.,,Alguma afinidade,Alguma afinidade,Muita afinidade,Boa afinidade,De 2 a 3 horas,Motivado.,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,,,,"O apoio da família., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).",Espero um bom rendimento pessoal.,Sistemas da informação,"Engenharia Civil, Sistema de Informaçao","Dificuldade de Transporte, Problemas Financeiros",,
5/20/2015 10:02:01,ATIVO,Masculino,,Solteiro/a,Não,De 1001 até 2000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Particular,Ampla concorrência,No site da universidade.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Boa afinidade,Boa afinidade,Muita afinidade,Muita afinidade,De 3 a 4 horas,Motivado.,Conheço bem,Conheço muito bem,Conheço muito bem,Conheço muito bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,,,,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.",Gostaria de prestar um concurso e trabalhar no setor público.,"Do curso de Sistemas de Informaçao, espero uma variavel de opçoes de cadeiras de TI, tendo em vista a mistura da area de ti com a administracao.
Tenho grande expectativas da Universidade abrindo as portas para palestrantes da area de TI,mais eventos, mais espaço para alunos poderem mostrar seus feitos, que diminua a ""conversa"" ou troca de informacoes entre aluno e professor. Bolsas para alunos,voltada para o ensino da sociedade.
Mais pesquisas voltada para a cidade de Quixada, para melhor tanto transporte,como alguma necessidade da propria cidade.",Sistemas da informação,1ª) Sistema de Informaçao 2ª) Engenharia de Software,"Problemas Financeiros, Problemas Familiares",,
5/20/2015 10:02:45,ATIVO,Masculino,,Solteiro/a,Não,De 1001 até 2000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,Ampla concorrência,Escola e cursinhos,Não exerço nenhuma atividade remunerada.,,"Igreja ou grupo religioso., Grupo cultural (dança, teatro, música, coral, etc).",É uma área com a qual me identifico.,,Alguma afinidade,Muita afinidade,Boa afinidade,Boa afinidade,De 3 a 4 horas,Motivado.,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Poucas vezes se verifica,,,,"O apoio da família., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).","Espero me tornar um bom profissional, adquirir o máximo de conhecimento possível.",Sistemas da informação,Sistemas da Informação e Design Digital,"Problemas Financeiros, Problemas Familiares",,
5/20/2015 10:03:26,CANCELADO/ABANDONO,Masculino,,Solteiro/a,Não,De 3001 até 4000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,"Cota L4 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA, autodeclarados pretos, pardos ou indígenas)",Escola e cursinhos,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Boa afinidade,Boa afinidade,Alguma afinidade,Boa afinidade,Até 2 horas,Motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Algum conhecimento,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Poucas vezes se verifica,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.",Gostaria de conseguir um bom emprego.,"Espero adquirir maior conhecimento na área da tecnologia, buscar interagir com os colegas, e obter êxito ao final do curso.

Ao término do curso, conseguir um emprego na área da tecnologia, e se especializar na área de SI.",Sistemas da informação,Sistemas da Informação e Sistemas da Informação,Dificuldade de Organizar Horários de Estudos,,
5/20/2015 10:03:40,ATIVO,Masculino,,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Entre 10 km e 25 km,Ônibus universitário,Não,Pública,Pública Tradicional,Ampla concorrência,Soube no momento da minha inscrição no SISU.,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,,Alguma afinidade,Alguma afinidade,Boa afinidade,Alguma afinidade,De 2 a 3 horas,Motivado.,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., O apoio da família., Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Alimentação no refeitório universitário gratuita., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão., Experiência de estágio na área.",Gostaria de conseguir um bom emprego.,eu espero que este curso me realize como pessoa e que me abra um mundo de oportunidades!!!!,Sistemas da informação,1 sistema de informacao 2 engenharia de software,"Dificuldade de Organizar Horários de Estudos, Dificuldade de Concentração",,
5/20/2015 10:04:41,ATIVO,Feminino,,Solteiro/a,Não,De 1001 até 2000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública Tradicional,"Cota L4 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA, autodeclarados pretos, pardos ou indígenas)",Soube no momento da minha inscrição no SISU.,"Sim, mas NÃO na área de tecnologia da informação ou afins.",,Igreja ou grupo religioso.,Por conta de um mercado de trabalho promissor.,,Boa afinidade,Boa afinidade,Alguma afinidade,Alguma afinidade,De 3 a 4 horas,Pouco motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Conheço bem,Conheço bem,Poucas vezes se verifica,Verifica-se com frequência,Verifica-se com frequência,Poucas vezes se verifica,,,,"Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão.",Gostaria de prestar um concurso e trabalhar no setor público.,Espero adquirir o conhecimento necessário para meu desenvolvimento profissional aliando-o ao conhecimento administrativo.,Sistemas da informação,Redes de computadores e Sistemas da informação,"Dificuldade com o aprendizado da matemática, Dificuldade com o aprendizado de programação",,
5/20/2015 10:05:19,CANCELADO/ABANDONO,Masculino,,Solteiro/a,Não,Até 1000 reais,Parentes,Zona urbana,Até 10 km,Transporte alternativo/Ônibus universitário,Sim. Visual,Pública,Pública Tradicional,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Escola e cursinhos,Não exerço nenhuma atividade remunerada.,,Não participo de nenhuma atividade.,Por não ter nota suficiente para Publicidade em Fortaleza,,Boa afinidade,Boa afinidade,Alguma afinidade,Alguma afinidade,Até 2 horas,Pouco motivado.,Pouquíssimo conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Pouquíssimo conhecimento,Poucas vezes se verifica,Poucas vezes se verifica,Poucas vezes se verifica,Poucas vezes se verifica,,,,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.",Fazer mestrado em Marketing,"Que seja ainda mais difícil, trocar de curso, no caso Publicidade em Fortaleza, só falta conseguir nota suficiente no Enem ou então transferência.",Sistemas da informação,"Agronomia, Sistemas de Informação","Problemas Financeiros, Dificuldade com o aprendizado de programação",,
