Indicação de data e hora,situacao,Curso em que você está matriculado:,"Quais foram a primeira e a segunda opção de cursos que você escolheu no ENEM/Sisu, respectivamente?",Como você tomou conhecimento do curso de sua escolha aqui na UFC de Quixadá?,Sexo,estado_civil,filhos,renda,quem_você_está_morando_atualmente,residindo_em,distancia_ufc_casa,meio_de_transporte,apresenta_necessidade_educacional_especial,tipo_escola_ensino_fundamental,tipo_escola_ensino_medio,forma_ingresso_ufc_qxd,atividade_remunerada,participa_algum_tipo_atividade_organização_associação,fator_escolha_curso,afinidade_linguagens,afinidade_humanas,afinidade_matematica,afinidade_natureza,estudo_fora_sala,motivacao_curso,tarefa_durante_curso,dedicacao_exigida,disciplinas_ofertadas,competencias_habilidades_requiridas,condicoes_mercado_trabalho,competencias_area_ti,realizacao_profissional,concluir_curso_nessa_instituicao,nao_mudaria_de_curso,Assinale DOIS fatores que você acredita que o ajudarão a concluir o curso com êxito:,Assinale as DUAS principais dificuldades que você percebe influenciar a conclusão do curso:,Quais suas expectativas com a conclusão de seu curso?,O que você espera do curso que está inciando? Quais suas expectativas?
4/14/2016 15:31:02,ATIVO,Engenharia de computação,Ciência da computaço,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Pouquíssima afinidade,Pouquíssima afinidade,Muita afinidade,Muita afinidade,Até 2 horas,Muito motivado.,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Dificuldade de Transporte, Dificuldade de Organizar Horários de Estudos","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).",Que consiga através desse curso me formar e ter um conhecimento avançado na área de T.I e conseguir meus objetivos.
4/14/2016 15:31:28,ATIVO,Engenharia de computação,Engenharia de Computação e Engenharia de Software,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Boa afinidade,Pouquíssima afinidade,Muita afinidade,Muita afinidade,De 2 a 3 horas,Muito motivado.,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Problemas Financeiros, ficar distante da minha familia","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).",Espero que minhas expectativas estejam corretas e que eu possa concluir o curso com êxito e o mais rapido possivel (sem reprovações).
4/14/2016 15:31:45,ATIVO,Engenharia de computação,"Engenharia de Computação, Engenharia de Computação",No site da universidade.,Masculino,Casado/a ou União estável,Sim,Até 1000 reais,Família,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública e particular,Pública Tradicional,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Muita afinidade,Boa afinidade,Muita afinidade,Boa afinidade,De 2 a 3 horas,Muito motivado.,Conheço bem,Conheço muito bem,Conheço bem,Algum conhecimento,Algum conhecimento,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão.","Problemas Familiares, Dificuldade de Organizar Horários de Estudos","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).","Poder conclui-lo nessa universidade, trabalhar no mercado nessa área e depois fazer um mestrado na área."
4/14/2016 15:32:09,ATIVO,Engenharia de computação,"Engenharia de computação, Música",Soube no momento da minha inscrição no SISU.,Feminino,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Entre 10 km e 25 km,Ônibus universitário,Não,Pública,Pública - Profissionalizante na Área de Informática,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Boa afinidade,Boa afinidade,Alguma afinidade,Boa afinidade,Até 2 horas,Motivado.,Conheço bem,Conheço bem,Algum conhecimento,Algum conhecimento,Conheço bem,Verifica-se com frequência,Verifica-se sempre,Poucas vezes se verifica,Verifica-se sempre,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Problemas Financeiros, Dificuldade com o aprendizado da matemática","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).",Reconhecimento.
4/14/2016 15:33:03,ATIVO,Engenharia de computação,"Engenharia da Computacao, Ciencia e Tecnologia",Soube no momento da minha inscrição no SISU.,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública Tradicional,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Pouquíssima afinidade,Alguma afinidade,Boa afinidade,Boa afinidade,De 2 a 3 horas,Muito motivado.,Conheço bem,Conheço bem,Conheço muito bem,Conheço bem,Conheço bem,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,Verifica-se com frequência,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Alimentação no refeitório universitário gratuita., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão.","Problemas Financeiros, Dificuldade de Socialização",Gostaria de conseguir um bom emprego.,"Me dedicar na área mostrando aprendizado e interesse. minhas expectativas em relação ao curso estão muitos boas, pois os professores tem muita qualidade  no ensino e as matérias ministradas são do meu agrado."
4/14/2016 15:33:21,ATIVO,Engenharia de computação,Engenharia da Computação,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,Até 1000 reais,Sozinho,Zona urbana,Entre 10 km e 25 km,Automóvel particular,Não,Pública,Pública Tradicional,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Pouquíssima afinidade,Pouquíssima afinidade,Muita afinidade,Muita afinidade,De 3 a 4 horas,Muito motivado.,Conheço muito bem,Conheço muito bem,Conheço muito bem,Conheço muito bem,Conheço muito bem,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Problemas Pessoais, Dificuldade de Organizar Horários de Estudos",Gostaria de conseguir um bom emprego.,"Espero me formar no tempo correto, sem ter atraso nos estudos.
Obter um bom emprego, e boa vida proficional."
4/14/2016 15:33:36,ATIVO,Engenharia de computação,Engenharia de computação/Quixadá-CE e Engenharia de computação/Sobral-CE,No site da universidade.,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Pública - Profissionalizante na Área de Informática,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Movimento estudantil,É uma área com a qual me identifico.,Boa afinidade,Boa afinidade,Muita afinidade,Alguma afinidade,De 3 a 4 horas,Muito motivado.,Conheço bem,Conheço muito bem,Conheço muito bem,Conheço bem,Conheço muito bem,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Problemas Financeiros, Problemas Pessoais",Gostaria de conseguir um bom emprego.,Que as cadeiras da área tenham suporte material para uma melhor realização da prática da profissão.
4/14/2016 15:33:56,ATIVO,Engenharia de computação,Engenharia de computação e Engenharia de software,No site da universidade.,Masculino,Solteiro/a,Não,De 2001 até 3000 reais,Sozinho,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública e particular,Particular,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Pouquíssima afinidade,Alguma afinidade,Muita afinidade,Boa afinidade,Até 2 horas,Motivado.,Conheço bem,Algum conhecimento,Conheço bem,Conheço bem,Algum conhecimento,Verifica-se com frequência,Verifica-se com frequência,Verifica-se sempre,Verifica-se com frequência,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão., Experiência de estágio na área.","Dificuldade de Socialização, Dificuldade de Organizar Horários de Estudos, Dificuldade com o aprendizado de programação","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).",Espero conseguir concluir com êxito e obter um bom conhecimento na área.
4/14/2016 15:34:15,ATIVO,Engenharia de computação,"Telemática, Engenharia de Computação",Escola e cursinhos,Masculino,Solteiro/a,Não,De 1001 até 2000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Pública,Pública Tradicional,"Cota L2 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo, autodeclarados pretos, pardos ou indígenas)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Boa afinidade,Alguma afinidade,Muita afinidade,Alguma afinidade,De 3 a 4 horas,Muito motivado.,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Poucas vezes se verifica,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.","Problemas Financeiros, Problemas Pessoais",Gostaria de fazer algo para a sociedade,Espero ampliar meus conhecimentos na área de engenharia de computação e fazer um projeto para ajudar a sociedade.
4/14/2016 15:35:00,ATIVO,Engenharia de computação,Engenharia de Computação e Engenharia de Software,Soube no momento da minha inscrição no SISU.,Masculino,Solteiro/a,Não,De 2001 até 3000 reais,Família,Zona urbana,Entre 50 km e 100 km,Ônibus universitário,Não,Pública e particular,Pública Tradicional,"Cota L3 (Candidatos que cursaram todo o ensino médio em escolas públicas, INDEPENDENTE DA RENDA)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,Por conta de um mercado de trabalho promissor.,Boa afinidade,Boa afinidade,Alguma afinidade,Muita afinidade,Não tenho tempo disponível além dos horários das aulas.,Motivado.,Algum conhecimento,Algum conhecimento,Pouquíssimo conhecimento,Algum conhecimento,Pouquíssimo conhecimento,Poucas vezes se verifica,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,"Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Experiência de estágio na área.","Problemas Financeiros, Problemas Familiares","Gostaria de seguir a vida acadêmica (mestrado, doutorado, etc).","Espero abranger conhecimento nessa área, pois sempre tive interesse no ramo da computação e vejo que me realizarei profissionalmente nessa profissão."
4/14/2016 15:37:31,ATIVO,Engenharia de computação,Engenharia de computação,Obtive conhecimento através de amigos e familiares.,Masculino,Solteiro/a,Não,De 3001 até 4000 reais,Amigos,Zona urbana,Até 10 km,Ônibus universitário,Não,Particular,Particular,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,É uma área com a qual me identifico.,Boa afinidade,Boa afinidade,Muita afinidade,Boa afinidade,Até 2 horas,Muito motivado.,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Algum conhecimento,Verifica-se com frequência,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,"Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Envolvimento em atividades de ensino, pesquisa e extensão.","Dificuldade de Transporte, Problemas Financeiros",Gostaria de conseguir um bom emprego.,"Concluir o curso e, ao final deste, conseguir um bom emprego que valorize meus estudos (currículo)."
4/14/2016 15:37:40,ATIVO,Engenharia de computação,Engenharia da Computação e Engenharia da Computação,Soube no momento da minha inscrição no SISU.,Feminino,Solteiro/a,Não,Acima de 6000 reais,Parentes,Zona urbana,Entre 25 km e 50 km,Ônibus universitário,Não,Particular,Particular,Ampla concorrência,Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,Por conta de um mercado de trabalho promissor.,Boa afinidade,Alguma afinidade,Boa afinidade,Boa afinidade,De 3 a 4 horas,Motivado.,Algum conhecimento,Conheço bem,Algum conhecimento,Algum conhecimento,Algum conhecimento,Poucas vezes se verifica,Verifica-se com frequência,Verifica-se com frequência,Poucas vezes se verifica,"Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares., Envolvimento em atividades de ensino, pesquisa e extensão.","Dificuldade de Organizar Horários de Estudos, Dificuldade com o aprendizado de programação",Gostaria de conseguir um bom emprego.,"Que vá ampliar e aprofundar meus conhecimentos na área e aumentar  as oportunidades no mercado de trabalho, ganhando um salário justo."
4/14/2016 15:39:08,DESISTENCIA,Engenharia de computação,odontologia/engenharia de computaçao,Em sites especializados.,Feminino,Solteiro/a,Não,Até 1000 reais,Amigos,Zona urbana,Entre 10 km e 25 km,Ônibus universitário,Não,Pública,Pública Tradicional,"Cota L1 (Candidatos que cursaram todo o ensino médio em escolas públicas, com renda familiar bruta per capita igual ou inferior a 1,5 salário mínimo)",Não exerço nenhuma atividade remunerada.,Não participo de nenhuma atividade.,"area de atuaçao, mercado de trabalho",Muita afinidade,Muita afinidade,Boa afinidade,Boa afinidade,De 2 a 3 horas,Muito motivado.,Algum conhecimento,Conheço bem,Conheço bem,Conheço bem,Algum conhecimento,Verifica-se sempre,Verifica-se sempre,Verifica-se sempre,Poucas vezes se verifica,"O conhecimento que os professores têm das matérias e a habilidade em ensiná-las., Auxílio moradia (benefício oferecido pela UFC aos alunos de baixa renda para custearem sua moradia na cidade)., Esforço e dedicação pessoal para com os estudos e a realização dos compromissos escolares.",duvidas em relaçao ao curso escolhido,Gostaria de conseguir um bom emprego.,"Espero que responda as minhas expectativas, espero adquirir o conhecimento necessario para ingressar em um mercado de trabalho e me realizar profissionalmente."
